case_id,pdf_file,txt_file,raw_char_count,clean_char_count,word_count,status,error
case_001,case_001.pdf,case_001.txt,46033,31533,4447,valid,
case_002,case_002.pdf,case_002.txt,44167,31271,4426,valid,
case_003,case_003.pdf,case_003.txt,36188,25256,3542,valid,
case_004,case_004.pdf,case_004.txt,45425,31806,4480,valid,
case_005,case_005.pdf,case_005.txt,38270,26500,3744,valid,
case_006,case_006.pdf,case_006.txt,50444,35137,5173,valid,
case_007,case_007.pdf,case_007.txt,43082,30204,4227,valid,
case_008,case_008.pdf,case_008.txt,47693,33025,4587,valid,
case_009,case_009.pdf,case_009.txt,35394,24495,3424,valid,
case_010,case_010.pdf,case_010.txt,44842,31156,4494,valid,
case_011,case_011.pdf,case_011.txt,52484,37001,5342,valid,
case_012,case_012.pdf,case_012.txt,39755,27226,3816,valid,
case_013,case_013.pdf,case_013.txt,55918,39607,5688,valid,
case_014,case_014.pdf,case_014.txt,36388,25427,3551,valid,
case_015,case_015.pdf,case_015.txt,40230,28380,3985,valid,
case_016,case_016.pdf,case_016.txt,39590,27831,3859,valid,
case_017,case_017.pdf,case_017.txt,58320,41042,5980,valid,
case_018,case_018.pdf,case_018.txt,46201,32436,4596,valid,
case_019,case_019.pdf,case_019.txt,36640,25762,3632,valid,
case_020,case_020.pdf,case_020.txt,41695,28945,3981,valid,
case_021,case_021.pdf,case_021.txt,50210,36517,5267,valid,
case_022,case_022.pdf,case_022.txt,66125,47129,6637,valid,
case_023,case_023.pdf,case_023.txt,57483,40357,5752,valid,
case_024,case_024.pdf,case_024.txt,48377,34013,4839,valid,
case_025,case_025.pdf,case_025.txt,62410,44209,6299,valid,
case_026,case_026.pdf,case_026.txt,61597,43383,6227,valid,
case_027,case_027.pdf,case_027.txt,52035,36652,5217,valid,
case_028,case_028.pdf,case_028.txt,71064,50066,7015,valid,
case_029,case_029.pdf,case_029.txt,45948,32388,4519,valid,
case_030,case_030.pdf,case_030.txt,37097,26185,3724,valid,
